latitude,longitude,altitude,geometry,No.,Name,Floor,X,Y,Z
-33.916932557800166,150.92991926716454,18.47,Point,55,R0431,GF,308630.339,6245123.385,18.47
-33.916932557800166,150.92991926716454,21.47,Point,55,R0431,F 1,308630.339,6245123.385,21.47
-33.916932557800166,150.92991926716454,24.47,Point,55,R0431,F 2,308630.339,6245123.385,24.47
-33.916932557800166,150.92991926716454,27.47,Point,55,R0431,F 3,308630.339,6245123.385,27.47
-33.91682028138508,150.929808854226,18.47,Point,56,R0431,GF,308619.879,6245135.631,18.47
-33.91682028138508,150.929808854226,21.47,Point,56,R0431,F 1,308619.879,6245135.631,21.47
-33.91682028138508,150.929808854226,24.47,Point,56,R0431,F 2,308619.879,6245135.631,24.47
-33.91682028138508,150.929808854226,27.47,Point,56,R0431,F 3,308619.879,6245135.631,27.47
-33.91679713971451,150.9297099232073,18.47,Point,57,R0431,GF,308610.68,6245138.013,18.47
-33.91679713971451,150.9297099232073,21.47,Point,57,R0431,F 1,308610.68,6245138.013,21.47
-33.91679713971451,150.9297099232073,24.47,Point,57,R0431,F 2,308610.68,6245138.013,24.47
-33.91679713971451,150.9297099232073,27.47,Point,57,R0431,F 3,308610.68,6245138.013,27.47
-33.91653252628836,150.92980016612805,18.56,Point,58,R0432,GF,308618.432,6245167.528,18.56
-33.91653252628836,150.92980016612805,21.56,Point,58,R0432,F 1,308618.432,6245167.528,21.56
-33.91653252628836,150.92980016612805,24.56,Point,58,R0432,F 2,308618.432,6245167.528,24.56
-33.91653252628836,150.92980016612805,27.56,Point,58,R0432,F 3,308618.432,6245167.528,27.56
-33.91661402081989,150.92958894934523,18.56,Point,59,R0432,GF,308599.085,6245158.096,18.56
-33.91661402081989,150.92958894934523,21.56,Point,59,R0432,F 1,308599.085,6245158.096,21.56
-33.91661402081989,150.92958894934523,24.56,Point,59,R0432,F 2,308599.085,6245158.096,24.56
-33.91661402081989,150.92958894934523,27.56,Point,59,R0432,F 3,308599.085,6245158.096,27.56
-33.91672980826999,150.92977569836836,18.56,Point,60,R0432,GF,308616.611,6245145.603,18.56
-33.91672980826999,150.92977569836836,21.56,Point,60,R0432,F 1,308616.611,6245145.603,21.56
-33.91672980826999,150.92977569836836,24.56,Point,60,R0432,F 2,308616.611,6245145.603,24.56
-33.91672980826999,150.92977569836836,27.56,Point,60,R0432,F 3,308616.611,6245145.603,27.56
-33.916648313423366,150.9299869152823,18.56,Point,61,R0432,GF,308635.958,6245155.035,18.56
-33.916648313423366,150.9299869152823,21.56,Point,61,R0432,F 1,308635.958,6245155.035,21.56
-33.916648313423366,150.9299869152823,24.56,Point,61,R0432,F 2,308635.958,6245155.035,24.56
-33.916648313423366,150.9299869152823,27.56,Point,61,R0432,F 3,308635.958,6245155.035,27.56
-33.91388999835456,150.92961626688347,18.5,Point,62,R0436,GF,308595.517,6245460.252,18.5
-33.91388999835456,150.92961626688347,21.5,Point,62,R0436,F 1,308595.517,6245460.252,21.5
-33.91392027341681,150.92984234743923,18.5,Point,63,R0436,GF,308616.489,6245457.316,18.5
-33.91392027341681,150.92984234743923,21.5,Point,63,R0436,F 1,308616.489,6245457.316,21.5
-33.91386761055168,150.93006247438427,18.5,Point,64,R0436,GF,308636.725,6245463.567,18.5
-33.91386761055168,150.93006247438427,21.5,Point,64,R0436,F 1,308636.725,6245463.567,21.5
-33.91383766720078,150.92983625607235,18.5,Point,65,R0436,GF,308615.741,6245466.466,18.5
-33.91383766720078,150.92983625607235,21.5,Point,65,R0436,F 1,308615.741,6245466.466,21.5
-33.916290791429496,150.92987503795374,18.47,Point,66,R0440,GF,308624.814,6245194.477,18.47
-33.916290791429496,150.92987503795374,21.47,Point,66,R0440,F 1,308624.814,6245194.477,21.47
-33.916290791429496,150.92987503795374,24.47,Point,66,R0440,F 2,308624.814,6245194.477,24.47
-33.91634778230441,150.92964689384706,18.47,Point,67,R0440,GF,308603.847,6245187.731,18.47
-33.91634778230441,150.92964689384706,21.47,Point,67,R0440,F 1,308603.847,6245187.731,21.47
-33.91634778230441,150.92964689384706,24.47,Point,67,R0440,F 2,308603.847,6245187.731,24.47
-33.91646412556674,150.9298398910365,18.47,Point,68,R0440,GF,308621.952,6245175.188,18.47
-33.91646412556674,150.9298398910365,21.47,Point,68,R0440,F 1,308621.952,6245175.188,21.47
-33.91646412556674,150.9298398910365,24.47,Point,68,R0440,F 2,308621.952,6245175.188,24.47
-33.91640712532865,150.93006803556634,18.47,Point,69,R0440,GF,308642.919,6245181.935,18.47
-33.91640712532865,150.93006803556634,21.47,Point,69,R0440,F 1,308642.919,6245181.935,21.47
-33.91640712532865,150.93006803556634,24.47,Point,69,R0440,F 2,308642.919,6245181.935,24.47
-33.91268664936022,150.92969390506013,14.64,Point,70,R0446,GF,308600.004,6245593.853,14.64
-33.91271592589079,150.92973191412483,14.64,Point,71,R0446,GF,308603.584,6245590.677,14.64
-33.912731485036474,150.92974777088753,14.64,Point,72,R0446,GF,308605.085,6245588.981,14.64
